timestamp,level,module,action,message,status,error
2026-05-26 10:45:54,INFO,helper,startup,CMP Operation App monitoring started,STARTED,
2026-05-26 10:45:54,INFO,run,main,CMP Operation App startup initiated,STARTED,
2026-05-26 10:45:54,INFO,run,start_database_setup,Starting database setup process,STARTED,
2026-05-26 10:45:54,INFO,helper,startup,CMP Operation App monitoring started,STARTED,
2026-05-26 10:45:54,INFO,database.creation,load_environment,.env file loaded successfully,SUCCESS,
2026-05-26 10:45:54,INFO,database.creation,initialize_database,Starting database initialization for 'cmp',STARTED,
2026-05-26 10:45:54,INFO,database.creation,mysql_connection,Connecting to MySQL server at localhost:3306,STARTED,
2026-05-26 10:45:54,INFO,database.creation,mysql_connection,Connected to MySQL server successfully,SUCCESS,
2026-05-26 10:45:54,INFO,database.creation,database_check,Database 'cmp' does not exist. Creating now.,STARTED,
2026-05-26 10:45:54,INFO,database.creation,create_database,Database 'cmp' created successfully,SUCCESS,
2026-05-26 10:45:54,INFO,database.creation,mysql_connection,MySQL connection closed,SUCCESS,
2026-05-26 10:45:54,INFO,run,start_database_setup,Database setup process completed successfully,SUCCESS,
2026-05-26 10:45:54,INFO,run,start_flask_app,Importing Flask app from app.py,STARTED,
2026-05-26 10:45:54,INFO,run,start_flask_app,Flask app imported successfully,SUCCESS,
2026-05-26 10:45:54,INFO,run,run_flask_app,Starting Flask development server,STARTED,
2026-05-26 10:45:54,INFO,helper,startup,CMP Operation App monitoring started,STARTED,
2026-05-26 10:45:54,INFO,run,main,CMP Operation App startup initiated,STARTED,
2026-05-26 10:45:54,INFO,run,start_database_setup,Starting database setup process,STARTED,
2026-05-26 10:45:54,INFO,helper,startup,CMP Operation App monitoring started,STARTED,
2026-05-26 10:45:54,INFO,database.creation,load_environment,.env file loaded successfully,SUCCESS,
2026-05-26 10:45:54,INFO,database.creation,initialize_database,Starting database initialization for 'cmp',STARTED,
2026-05-26 10:45:54,INFO,database.creation,mysql_connection,Connecting to MySQL server at localhost:3306,STARTED,
2026-05-26 10:45:54,INFO,database.creation,mysql_connection,Connected to MySQL server successfully,SUCCESS,
